name,direction,width
EMIOSDIO0WP,i,1
EMIOSDIO1CDN,i,1
EMIOSDIO1CLKFB,i,1
EMIOSDIO1CMDI,i,1
EMIOSDIO1WP,i,1
EMIOSPI0MI,i,1
EMIOSPI0SCLKI,i,1
EMIOSPI0SI,i,1
EMIOSPI0SSIN,i,1
EMIOSPI1MI,i,1
EMIOSPI1SCLKI,i,1
EMIOSPI1SI,i,1
EMIOSPI1SSIN,i,1
EMIOSRAMINTIN,i,1
EMIOTRACECLK,i,1
EMIOUART0CTSN,i,1
EMIOUART0DCDN,i,1
EMIOUART0DSRN,i,1
EMIOUART0RIN,i,1
EMIOUART0RX,i,1
EMIOUART1CTSN,i,1
EMIOUART1DCDN,i,1
EMIOUART1DSRN,i,1
EMIOUART1RIN,i,1
EMIOUART1RX,i,1
EMIOUSB0VBUSPWRFAULT,i,1
EMIOUSB1VBUSPWRFAULT,i,1
EMIOWDTCLKI,i,1
EVENTEVENTI,i,1
FPGAIDLEN,i,1
FTMDTRACEINCLOCK,i,1
FTMDTRACEINVALID,i,1
MAXIGP0ACLK,i,1
MAXIGP0ARREADY,i,1
MAXIGP0AWREADY,i,1
MAXIGP0BVALID,i,1
MAXIGP0RLAST,i,1
MAXIGP0RVALID,i,1
MAXIGP0WREADY,i,1
MAXIGP1ACLK,i,1
MAXIGP1ARREADY,i,1
MAXIGP1AWREADY,i,1
MAXIGP1BVALID,i,1
MAXIGP1RLAST,i,1
MAXIGP1RVALID,i,1
MAXIGP1WREADY,i,1
SAXIACPACLK,i,1
SAXIACPARVALID,i,1
SAXIACPAWVALID,i,1
SAXIACPBREADY,i,1
SAXIACPRREADY,i,1
SAXIACPWLAST,i,1
SAXIACPWVALID,i,1
SAXIGP0ACLK,i,1
SAXIGP0ARVALID,i,1
SAXIGP0AWVALID,i,1
SAXIGP0BREADY,i,1
SAXIGP0RREADY,i,1
SAXIGP0WLAST,i,1
SAXIGP0WVALID,i,1
SAXIGP1ACLK,i,1
SAXIGP1ARVALID,i,1
SAXIGP1AWVALID,i,1
SAXIGP1BREADY,i,1
SAXIGP1RREADY,i,1
SAXIGP1WLAST,i,1
SAXIGP1WVALID,i,1
SAXIHP0ACLK,i,1
SAXIHP0ARVALID,i,1
SAXIHP0AWVALID,i,1
SAXIHP0BREADY,i,1
SAXIHP0RDISSUECAP1EN,i,1
SAXIHP0RREADY,i,1
SAXIHP0WLAST,i,1
SAXIHP0WRISSUECAP1EN,i,1
SAXIHP0WVALID,i,1
SAXIHP1ACLK,i,1
SAXIHP1ARVALID,i,1
SAXIHP1AWVALID,i,1
SAXIHP1BREADY,i,1
SAXIHP1RDISSUECAP1EN,i,1
SAXIHP1RREADY,i,1
SAXIHP1WLAST,i,1
SAXIHP1WRISSUECAP1EN,i,1
SAXIHP1WVALID,i,1
SAXIHP2ACLK,i,1
SAXIHP2ARVALID,i,1
SAXIHP2AWVALID,i,1
SAXIHP2BREADY,i,1
SAXIHP2RDISSUECAP1EN,i,1
SAXIHP2RREADY,i,1
SAXIHP2WLAST,i,1
SAXIHP2WRISSUECAP1EN,i,1
SAXIHP2WVALID,i,1
SAXIHP3ACLK,i,1
SAXIHP3ARVALID,i,1
SAXIHP3AWVALID,i,1
SAXIHP3BREADY,i,1
SAXIHP3RDISSUECAP1EN,i,1
SAXIHP3RREADY,i,1
SAXIHP3WLAST,i,1
SAXIHP3WRISSUECAP1EN,i,1
SAXIHP3WVALID,i,1
MAXIGP0BID,i,12
MAXIGP0RID,i,12
MAXIGP1BID,i,12
MAXIGP1RID,i,12
IRQF2P,i,12
DMA0DRTYPE,i,20
DMA1DRTYPE,i,2
DMA2DRTYPE,i,2
DMA3DRTYPE,i,2
MAXIGP0BRESP,i,2
MAXIGP0RRESP,i,2
MAXIGP1BRESP,i,2
MAXIGP1RRESP,i,2
SAXIACPARBURST,i,2
SAXIACPARLOCK,i,2
SAXIACPARSIZE,i,2
SAXIACPAWBURST,i,2
SAXIACPAWLOCK,i,2
SAXIACPAWSIZE,i,2
SAXIGP0ARBURST,i,2
SAXIGP0ARLOCK,i,2
SAXIGP0ARSIZE,i,2
SAXIGP0AWBURST,i,2
SAXIGP0AWLOCK,i,2
SAXIGP0AWSIZE,i,2
SAXIGP1ARBURST,i,2
SAXIGP1ARLOCK,i,2
SAXIGP1ARSIZE,i,2
SAXIGP1AWBURST,i,2
SAXIGP1AWLOCK,i,2
SAXIGP1AWSIZE,i,2
SAXIHP0ARBURST,i,2
SAXIHP0ARLOCK,i,2
SAXIHP0ARSIZE,i,2
SAXIHP0AWBURST,i,2
SAXIHP0AWLOCK,i,2
SAXIHP0AWSIZE,i,2
SAXIHP1ARBURST,i,2
SAXIHP1ARLOCK,i,2
SAXIHP1ARSIZE,i,2
SAXIHP1AWBURST,i,2
SAXIHP1AWLOCK,i,2
SAXIHP1AWSIZE,i,2
SAXIHP2ARBURST,i,2
SAXIHP2ARLOCK,i,2
SAXIHP2ARSIZE,i,2
SAXIHP2AWBURST,i,2
SAXIHP2AWLOCK,i,2
SAXIHP2AWSIZE,i,2
SAXIHP3ARBURST,i,2
SAXIHP3ARLOCK,i,2
SAXIHP3ARSIZE,i,2
SAXIHP3AWBURST,i,2
SAXIHP3AWLOCK,i,2
SAXIHP3AWSIZE,i,2
EMIOTTC0CLKI,i,2
